EquipmentName,MaxLength,CampsiteID
Trailer,45,51046
Tent,40,51262
RV,40,51262
Trailer,40,51262
Tent,0,51959
Trailer,0,51959
Trailer,45,51056
Tent,45,51056
RV,45,51056
Trailer,45,51696
Tent,45,51696
RV,45,51696
Tent,0,51289
Trailer,0,51289
Tent,0,51188
Trailer,0,51188
Trailer,35,51040
Tent,35,51040
RV,35,51040
Tent,45,51110
RV,45,51110
Trailer,45,51110
Trailer,0,51016
Tent,0,51016
Tent,45,51139
RV,45,51139
Trailer,45,51139
Trailer,45,51414
Tent,45,51414
RV,45,51414
Tent,35,51058
RV,35,51058
Trailer,35,51058
RV,45,51214
Trailer,45,51214
Tent,45,51214
Tent,40,51109
RV,40,51109
Trailer,40,51109
Tent,40,51724
RV,40,51724
Trailer,40,51724
Trailer,40,51931
Tent,40,51931
RV,40,51931
Tent,45,51513
RV,45,51513
Trailer,45,51513
Tent,40,51293
RV,40,51293
Trailer,40,51293
Tent,40,51599
RV,40,51599
Trailer,40,51599
RV,45,51431
Trailer,45,51431
Tent,45,51431
Tent,45,51542
RV,45,51542
Trailer,45,51542
Trailer,45,51849
Tent,45,51849
RV,45,51849
Tent,0,51622
Trailer,0,51622
Tent,40,51323
RV,40,51323
Trailer,40,51323
Tent,45,51514
RV,45,51514
Trailer,45,51514
Tent,40,51002
RV,40,51002
Trailer,40,51002
Tent,45,51297
RV,45,51297
Trailer,45,51297
Tent,40,51921
RV,40,51921
Trailer,40,51921
Tent,40,51588
RV,40,51588
Trailer,40,51588
Tent,35,51708
RV,35,51708
Trailer,35,51708
RV,45,51781
Trailer,45,51781
Tent,45,51781
Tent,40,51157
RV,40,51157
Trailer,40,51157
Tent,45,51149
RV,45,51149
Trailer,45,51149
Tent,45,51699
RV,45,51699
Trailer,45,51699
Trailer,40,51303
Tent,40,51303
RV,40,51303
Tent,45,51863
RV,45,51863
Trailer,45,51863
Tent,40,51387
RV,40,51387
Trailer,40,51387
Trailer,40,51418
Tent,40,51418
RV,40,51418
Trailer,40,51112
Tent,40,51112
RV,40,51112
Tent,40,51700
RV,40,51700
Trailer,40,51700
Tent,40,51754
RV,40,51754
Trailer,40,51754
Tent,45,51284
RV,45,51284
Trailer,45,51284
Tent,35,51831
RV,35,51831
Trailer,35,51831
Boat,40,10009004
CAR,40,10009004
RV,40,10009004
Tent,0,10009004
Trailer,40,10009004
VEHICLE,40,10009004
Boat,20,10007778
CAR,20,10007778
Tent,8,10007778
Trailer,20,10007778
VEHICLE,20,10007778
Boat,32,10007808
CAR,32,10007808
Tent,8,10007808
Trailer,32,10007808
VEHICLE,32,10007808
Boat,35,10009009
CAR,35,10009009
RV,35,10009009
Tent,0,10009009
